separation | הפרדה
tin | עשוי מפח, בדיל
toes | בהונות
tongue | לשון
treasure | לנצור, אוצר
treaty | חוזה, הסכם, אמנה
triggered | הוביל ל-, עורר, גרם
trim | לגזום
triple | פי 3
truck | קרון משא, משאית
twig | זרד, ענף קטן
twins | תאומים
ugly | מכוער
uncle | דוד
unconcerned | לא מודאג
uncritical | לא ביקורתי
unearth | לחפור, לחשוף
unholy | לא מוסרי, לא קדוש
unwanted | לא רצוי
upbringing | חינוך, גידול
upholstery | ריפוד
usher | סדרן
using up | מְכַלֶּה (מנצל עד תום)
vacation | חופשה
verb | פועל
veterinarian | וטרינר
vinegar | חומץ
vowel | אות ניקוד
wallet | ארנק
weapon | נשק
wedding | חתונה
weekend | סוף שבוע
wheat | חיטה
whistle | לשרוק, שריקה
wholesale | סיטונאי
wife | אישה, רעיה
willow | ערבה (עץ)
worm | תולעת
writer | סופר, כותב
yawn | לפהק, פיהוק
zealot | קנאי
