excessive | מוגזם, מופרז
empire | אימפריה
enjoy | ליהנות
envelope | מעטפה, מעטפת עטיפה
face | לפנות/לעמוד פנים אל פנים/פנים
facial | שקשור לפנים
globe | גלובוס/כדור הארץ
good | טוב
goods | סחורה
hint | לרמוז/רמז
hope | לקוות/תקווה
in addition | בנוסף
language | שפה
learn | ללמוד
lesson | שיעור
once | פעם, פעם אחת
safe | בטוח/כספת
sudden | פתאומי
surface | לעלות, להגיח/משטח
misunderstood | שהבינו אותו לא נכון
neither | אף לא אחד מהשניים
notice | לשים לב, להבחין/הודעה, תזכורת
occupation | עיסוק, מקצוע/כיבוש
assignment | משימה
assure | להבטיח
budget | תקציב
chronology | רצף אירועים/כרונולוגיה
clarify | להבהיר, להסביר/לסנן (נוזל למשל)
collide | להתנגש
collision | התנגשות
compatible | מתאים
contact | ליצור קשר/מגע
contract | להתכווץ, לצמצם/הסכם, חוזה
convert | להמיר
demonstrate | להדגים/להפגין
economic | כלכלי, פיננסי, חסכוני
economize | לחסוך
economy | כלכלה
emphasize | להדגיש
enroll | לרשום/להתעדכן/לגולל
ensure | להבטיח
expel | לגרש
expert | מומחה
export | לייצא
failure | כישלון
fragrance | ריחניות/ניחוח
fragrant | מפיץ ריח טוב/נעים, מענג
frustrated | מיואש, מתוסכל
frustration | תסכול
glare | מבט חודר, תוקף/ברק
government | ממשלה
governor | מושל
grasp | לתפוס/להבין
harsh | נוקשה
hide from | להסתיר מ/להסתתר מ
import | לייבא
impression | רושם, חוות דעת/חיקוי
imprint | הטבעה, חותם
infinite | אינסופי
initial | התחלתי, ראשוני
initials | ראשי תיבות
inquiry | חקירה
insensitive | לא מתחשב, לא רגיש
interject | להכניס בין דברים (להפריע)
interpret | לפרש
interpretation | פרשנות
material | חומר
materialize | להתגשם, להפוך לגשמי
maze | מבוך
measure | למדוד/מידה/אמת מידה
measurement | מדידה
misinterpreted | שלא פורש נכונה
operate | לפעול/לנתח
operative | ביצועי/ניתוחי
permission | רשות
permit | להרשות, להתיר/היתר
preferable | מועדף
prey | טרף
print | להדפיס/טקסט כתוב, דפוס
reassurance | הרגעה, עידוד
recognize | להכיר, לזהות
renowned | ידוע, מפורסם
review | לסקור/לכתוב ביקורת
schedule | לקבוע/לוח זמנים
sense | להרגיש/חוש, תחושה/היגיון
sensible | הגיוני
sensitive | רגיש
shield | להגן/מגן
species | מינים, זנים
summarize | לסכם
summary | תקציר, סיכום
tax | מס
term | להגדיר/מונח/תנאי/סמסטר
tolerance | סובלנות
tolerate | להיות סובלני
transition | מעבר/ שינוי
transport | להעביר
transportation | אמצעי תחבורה
understand | להבין
understandable | מובן
undertake | ליטול על עצמו/להבטיח
union | איחוד, איגוד
unsatisfied | שאינו מסופק
violate | להפר
violence | אלימות
volcano | הר געש
taint | לפגום/להכתים/לזהם
tremble | לרעוד, לשקשק/לפחד
viscera | מעיים
eminent | בולט, מכובד, בכיר
heir | יורש
implore | להפציר, להתחנן
memorization | שינון
memorize | לשנן
mural | ציור קיר
mutiny | מרד
penal | פלילי, של עונש
penalize | להעניש
penalty | עונש, קנס
polar | קוטבי
polarize | לקטב/להתנגד
prominence | חשיבות/התבלטות
prominent | בולט/חשוב
slander | להשמיץ, להכפיש/הכפשה
stiff | נוקשה/קשיח
supplant | להחליף/לתפוס מקומו בכח
surmount | להתגבר על
area | אזור
behave | להתנהג
behavior | התנהגות, התנהלות
buy | לקנות, לרכוש
ceremony | טקס
condition | תנאי/מצב
conditional | מותנה, בהתניה מסוימת
correspondence | התכתבות/התאמה/הסכמה
creative | יצירתי
creature | יצור/יציר
debate | להתדיין/להתלבט/דיון
debt | חוב
deliver | לשלוח, להעביר/לשחרר/לשאת דברים
delivery | משלוח/לידה
element | יסוד, אלמנט/רכיב
employ | להעסיק/להפעיל
employment | תעסוקה
endurable | נסבל
endurance | כוח סבל
endure | לסבול, לשאת/להחזיק מעמד
engage in | להתעסק ב
engagement | התחייבות/אירוסין
enough | מספיק, די
enrich | להעשיר
erase | למחוק
evaluate | להעריך
examine | לבחון
experience | ניסיון
explanation | הסבר
fit | להתאים/מתאים/כשיר
garbage | אשפה, זבל
gift | מתנה
guess | לנחש/ניחוש
headache | כאב ראש
hear | לשמוע
installation | התקנה/התקן
involve | לערב
join | להצטרף
loud | קולני, רועם
loudly | בקול רם
molecule | מולקולה
more | יותר
narrow | לצמצם/צר
option | אפשרות, אופציה
other | אחר, שונה
proper | הולם, מתאים/תקין
properly | כיאות, היטב
question | לשאול/לפקפק/שאלה
questioned | מוטל בספק/נשאל
respond | להגיב
response | תגובה
serious | רציני, חמור
tall | גבוה
teach | ללמד
test | לבחון/מבחן
unit | יחידה
valuable | בעל ערך, יקר ערך
value | להעריך/להוקיר/ערך
answer | לפתור/להשיב/תשובה, פתרון
apparent | גלוי, נראה
appear | להיראות, להופיע
approximately | בקירוב
aspect | אופי, הבט, פן/מראה
attach | לחבר
attain | להשיג/לקבל
bright | בהיר, זוהר/מבריק, פיקח
charge | לטעון/לחייב/להאשים/להסתער
cheer | לעודד/עידוד, שמחה
classification | סיווג, מיון
classify | לסווג, למיין
companion | בן לוויה, חבר
