chronicle | קורות, היסטוריה
enhance | לשפר, לשדרג/להעצים
evoke | לעורר, לגרום
exert | להפעיל מאמץ
grave | קבר/חמור, רציני
hinder | למנוע, לעכב
intellectual | מלומד, אינטלקטואל
intersection | צומת, הצטלבות
irrigation | השקיה
linger | להתמהמה
monetary | כספי
moratorium | דחייה (לרוב כספית)
nobility | אצולה/התנהגות אצילית
obscene | מגונה
obscure | להסתיר/מעורפל, לא ברור
pest | מטרד
prosper | לשגשג
prosperity | שגשוג
prosperous | משגשג, מצליח
rigorous | קפדני, מדוקדק
rural | כפרי
sage | מרווה/חכם, משכיל
strain | להתאמץ/מאמץ/צאצא/סיב
straw | קש
tremendous | עצום, כביר
venture | להסתכן/סיכון
whale | להכות/לוויתן
wield | להשתמש
about | אודות, ליד, בערך
both | שניהם
comparatively | באופן יחסי
correspondingly | בהתאמה
e.g. | לדוגמה
equally | במידה שווה
for example | לדוגמה
for instance | לדוגמה
identically | באופן זהה
in other words | במילים אחרות
in the same way | באותו אופן
just as | בדיוק כמו
similarly | באופן דומה
such as | כמו למשל
that | ש-
above all | מעל לכל
both... and... | גם ... וגם ...
certainly | בהחלט, בוודאי
chiefly | בעיקר
especially | במיוחד
essentially | בעיקרו, במהותו
in fact | למעשה
in general | באופן כללי
in particular | במיוחד
incidentally | דרך אגב
indeed | בהחלט
just as... so... | בדיוק כמו... גם
markedly | בצורה ניכרת
neither... nor... | לא... ולא...
not only... but also... | לא רק... אלא גם...
not... but... | לא... אבל...
of course | כמובן, בוודאי
on one hand...on the other hand | מצד אחד... מצד שני
significantly | באופן משמעותי
specifically | במיוחד
surely | ללא ספק
surprisingly | במפתיע
too | יותר מידי, גם
truly | באמת
whether... or... | בין אם... או...
additionally | בנוסף
along with | יחד עם
also | גם
and | ו
as well as | כמו גם
aside from | חוץ מ-
coupled with | יחד עם
including | כולל
moreover | זאת ועוד
not only | לא רק
not to mention | שלא לדבר על
together with | יחד עם
with | באמצעות, עם
without | מבלי, ללא
even so | אף על פי כן
again | שוב
as long as | כל עוד
as soon as | כאשר, ברגע ש-
at last | סוף סוף
first of all | ראשית
from | מ-
further | בהמשך, לקדם
in a moment | בעוד רגע
in due time | בבוא העת
instantly | מיד
meanwhile | בינתיים
past | עבר, שעבר
shortly | בקיצור, בקרוב
simultaneously | בו זמנית
soon | בהקדם, מוקדם
still | עדיין, למרות זאת
suddenly | לפתע
to begin with | בתור התחלה
until now | עד עתה
whenever | כש-, מתישהו
left | שמאלה
right | ימינה
sideways | הצידה
toward | אל, אל עבר
upon | על
upside down | הפוך
across | בצד השני, לרוחב
adjacent to | ליד
along | לאורך
alongside | לצד, במקביל
amid | בקרב, בין
at | אצל, ב-
elsewhere | במקום אחר
farther | הלאה, יותר
here | כאן
into | אל תוך
of | של, מ-
there | שם
up | למעלה
where | היכן, איפה
wherever | בכל מקום, לא משנה היכן
albeit | אף על פי
conversely | לעומת זאת
different from | שונה מ-
in comparison | בהשוואה
in contrast to | בניגוד ל-
of course... but... | כמובן... אך...
on the contrary | בניגוד לכך
or | או
otherwise | אחרת
rather | עדיף
than | מ-
vice versa | להיפך
after all | אחרי הכל
because of | בגלל
being that | מכיוון ש-
given that | בהתחשב בכך
in light of | לאור
why | מדוע
in that case | במקרה הזה
led to | הוביל ל-
so that | כך ש-
consistently | בעקביות
daily | יומיומי
every day | כל יום
every now and then | לפעמים
for the most part | בדרך-כלל
from time to time | מפעם לפעם
hardly ever | כמעט אף פעם
mostly | לרוב
once in a while | מידי פעם
ordinarily | בדרך-כלל
regularly | באופן קבוע
seldom | לעיתים רחוקות
sometimes | לעיתים, לפעמים
how | איך, כיצד
what | מה, איזה
which | איזה
who | מי, ש-
whom | מי
whose | אשר לו, אשר הוא
1st - first | ראשון
2nd - second | שני
3rd - third | שלישי
4th - fourth | רביעי
5th - fifth | חמישי
6th - sixth | שישי
7th - seventh | שביעי
8th - eighth | שמיני
9th - ninth | תשיעי
10th - tenth | עשירי
acceptable | מקובל
acceptance | הסכמה
activate | להפעיל
actor | שחקן
actual | ממשי
actually | למעשה
address | לפנות, לטפל, כתובת
afford | יכל לעמוד בהוצאות
afraid | מפחד
agree | להסכים
agreement | הסכם
alarm | דאגה, להדאיג, אזעקה
alive | חי
almost | כמעט
alone | לבד
alternate | התחלף, חלופי
ambassador | שגריר
amount | כמות
anger | כעס, להכעיס
angry | כועס
animal | חיה
another | נוסף, אחר
apart | בנפרד
appearance | מראה, הופעה
architect | ארכיטקט
architecture | אדריכלות, ארכיטקטורה
aristocrat | אציל, אריסטוקרט
arm | לחמש, זרוע
army | צבא
arrange | לסדר
arrest | מעצר, לעצור
art | אמנות
article | פריט, מאמר
articulate | רהוט, להביע
artist | אמן
artistic | אמנותי
as far as | לגבי, בכל הנוגע ל-
as proof of | כהוכחה ל-
asked for | ביקש
