associate | לקשר
stand | לעמוד
standardize | לתקנן
suburban | פרברי
succeed | הצליח
success | הצלחה
sum | סכום, סך, לסכם
sum up | לסכם
task | משימה
territory | תחום, שטח
thereby | ולכן, גרם ל-
title | כותרת
touch | מגע, לגעת
trial | נסיון, משפט
uncharted | לא מתועד
unify | לאחד
universe | יקום
uphold | להחזיק, לתמוך, לדגול
volume | כרך, עוצמת קול, נפח
warfare | לוחמה
warrior | לוחם
watch | להסתכל, להשגיח, שעון
widespread | נפוץ
wild | פראי, טבע
abandon | לנטוש, לזנוח
absorb | לספוג
abundance | שפע
acquire | לרכוש, להשיג
adventure | הרפתקה
affection | חיבה
airborne | נישא באוויר
airline | חברת תעופה
airplane | אווירון, מטוס
alike | דומה
ally (allies) | בן-ברית (בנות-ברית)
alterations | שינויים
alternately | לסירוגין
amateur | חובבן
amend | תיקון, שינוי לטובה
apparently | כנראה
apply | לפנות
appreciation | הערכה
appropriately | בהתאם
arise | להופיע, לעלות
arise, arose | לקום, קם
aside | במאמר מוסגר, מלבד, הצידה
assess | להעריך, לאמוד
autumn | סתיו
await | להמתין
awareness | מודעות
bounce | לקפץ, ניתור
brilliant | מבריק
bush | שיח, ערבה
cable | כבל
calculator | מחשבון
categorize | לקטלג, למיין, לסווג
cautious | זהיר
chart | גיליון, תרשים
coincide | להקביל, לחפוף
colossal | עצום
commence | להתחיל
compress | לדחוס
concept | רעיון, מושג
conception | תפיסה
confident | בטוח בעצמו
conflict | עימות, סכסוך
conjecture | סברה, לשער
connect | לחבר
consequence | תוצאה
consumers | צרכנים
conveniently | באופן נח
creator | יוצר
customer | לקוח, צרכן
customize | להתאים באופן אישי
decade | עשור
