compromise | להתפשר/להעמיד בסיכון/פשרה
final | סופי, אחרון
floor | קומה/רצפה
fly | לעוף, לטוס
fruit | פרי
fruitless | חסר פרי, עקר
fuel | לתדלק/דלק
job | עבודה
knot | לקשור/קשר
landscape | נוף
lean | להישען/רזה, כחוש
load | להטעין/להעמיס/משא
match | להתאים/גפרור/תחרות
meet | להיפגש
meeting | פגישה
name | לכנות בשם/שם
namely | כלומר
note | פתק/הערה/להבחין
notebook | מחברת
pause | להפסיק/הפסקה
pet | ללטף/חיית מחמד
pick | לבחור/לקטוף
poem | שיר
poet | משורר
poetry | שירה
practice | לתרגל, להתאמן/אימון
purchase | לרכוש/רכישה
push | לדחוף/דחיפה/תמריץ
race | להתחרות/מרוץ/גזע, מין
racial | גזעני
racing | מתחרה
racism | גזענות
rate | להעריך/לדרג/קצב
reach | להגיע/להושיט יד
rehearsal | חזרה, תרגול
abduct | לחטוף
abduction | חטיפה
age | גיל/תקופה, עידן
aging | התבגרות, הזדקנות
atmosphere | אווירה/אטמוספירה
continuity | המשכיות
continuous | המשכי, מחזורי
declaration | הצהרה
declare | להצהיר
durable | יציב, מתמשך
duration | משך (זמן)
emerge | לצאת מתוך, להתגלות
exhausting | מתיש
exhaustion | תשישות/מיצוי
faithful to | נאמן ל
fictional | בדיוני, בדוי
flood | שיטפון, הצפה
foreign | חוץ/זר
foresight | ראיית הנולד
gather | לכנס, לאסוף
gathering | אסיפה, מפגש
grace | לעשות חסד/חן/ברכה
gracious | חינני/אדיב
graciously | באדיבות
greet | לברך לשלום
gross | ברוטו/דוחה, מגעיל
growl | לנהום, לרטון
harvest | לקצור/קציר
haze | להציק/ערפל, אובך
hive | כוורת
illiteracy | חוסר יכולת לקרוא
illiterate | אנאלפביתי, בור
imprisonment | כליאה
infiltrate | להסתנן, לחדור
inflammation | התלקחות/דלקת
injection | זריקה
insight | תובנה
instrument | כלי (למשל: נגינה)
interaction | אינטראקציה
intervene | להתערב, להפריע
intervention | התערבות
investigate | לחקור
investigation | חקירה
labor | לעבוד/לידה/עבודה
limber | גמיש/זריז
literate | משכיל, קורא וכותב
literature | ספרות
mechanism | מנגנון/מערכת מכונות
merge | למזג/להתמזג
meticulous | קפדני, מדויק
migration | נדידה
moderate | מתון
moderation | מתינות, איפוק
motion | תנועה
odor | ריח
omission | השמטה
omit | להשמיט
overdo | לעשות יתר על המידה
pass | לעבור, לחלוף/מעבר
passage | מעבר/קטע קריאה
perceive | לתפוס, להבחין
period | תקופה, עונה/וסת
pit | בור
portion | חלק, מנה
pour | לשפוך, למזוג
pride | גאווה, יהירות
radiant | קורן, זוהר
recipe | מרשם/מתכון
reflect | לשקף/להרהר
reflection | השתקפות/הרהור
refuge | מקלט, מפלט
refugee | פליט
remedy | לרפא/תרופה
report | לדווח/דיווח
repression | הדחקה/דיכוי
repressive | מדכא
resolution | החלטה/רזולוציה
restore | לשחזר, להשיב
salary | משכורת
scorch | לצרוב/צריבה
settle | ליישב
split | לפצל, להתפצל/פיצול
stack | לאסוף לערימה
stem from | לנבוע מ
submerge | להטביע/לכסות/להחביא
surpass | להתעלות מעל
survey | לסקור/סקר
symmetry | סימטריה
taste | לטעום/טעם
temporary | זמני
tender | עדין
unlock | לשחרר/לפתוח
withdraw | לסגת
withdrawal | נסיגה
affiliation | הצטרפות, הסתפחות
bewilder | לבלבל
bewilderment | בלבול
chronic | עקבי, מתמשך, כרוני
